rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
40,A,Y,85.52,continuation,強勢續攻,9,7,2,75.62,75.03,3209,全科,TWSE,電子通路,47.45,一般,3-5日延續,催化觀察,平台突破,業績成長,11.85,21.37,3,18.07,19.34,6.27,47.82,0.77,-1.96,4.0,13.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 強勢續攻；結構 平台突破；題材 一般；訊號 3-5日延續
41,A,Y,85.25,early,早期起漲,9,7,2,70.31,80.32,3211,順達,TPEX,櫃電腦週邊,359.0,BBU,待確認,一般觀察,回踩承接,業績成長,76.33,42.89,3,-15.64,4.87,18.29,20.47,0.58,-7.47,13.0,17.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 早期起漲；結構 回踩承接；題材 BBU；訊號 待確認
42,A,Y,85.15,continuation,強勢續攻,9,7,2,69.54,79.12,3556,禾瑞亞,TPEX,櫃半導體,48.1,一般,待確認,暫不出手,回踩承接,業績成長,24.41,34.11,2,8.2,1.74,14.12,29.3,0.81,-3.22,0.0,16.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端,,核心 9/9，加分 2/3；型態 強勢續攻；結構 回踩承接；題材 一般；訊號 待確認
43,A,Y,84.96,early,早期起漲,9,7,2,67.53,80.66,6227,茂綸,TPEX,櫃電子通路,95.0,一般,待確認,暫不出手,回踩承接,業績成長,67.58,46.69,2,4.96,12.56,10.47,8.2,1.66,-3.06,0.0,13.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端,,核心 9/9，加分 2/3；型態 早期起漲；結構 回踩承接；題材 一般；訊號 待確認
44,A,Y,84.55,continuation,強勢續攻,9,7,2,64.48,82.45,4771,望隼,TWSE,生技,196.0,一般,待確認,暫不出手,平台突破,業績成長,18.16,27.63,3,13.69,1.63,3.16,10.73,1.42,-2.49,1.0,14.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端,,核心 9/9，加分 2/3；型態 強勢續攻；結構 平台突破；題材 一般；訊號 待確認
45,A,Y,84.54,continuation,強勢續攻,9,7,2,66.75,81.23,6944,兆聯實業,TWSE,綠能環保,917.0,一般,待確認,一般觀察,回踩承接,業績成長,23.45,58.54,3,-13.11,2.64,9.3,23.92,0.62,-5.66,9.0,15.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 強勢續攻；結構 回踩承接；題材 一般；訊號 待確認
46,A,Y,84.49,continuation,強勢續攻,9,7,2,69.63,75.71,6996,力領科技,TPEX,櫃半導體,185.0,一般,待確認,暫不出手,平台突破,業績成長,15.83,15.21,2,4.24,15.28,10.12,15.99,1.34,-2.37,0.0,19.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端,,核心 9/9，加分 2/3；型態 強勢續攻；結構 平台突破；題材 一般；訊號 待確認
47,A,Y,84.41,early,早期起漲,9,7,2,65.61,80.3,2850,新產,TWSE,金融業,125.5,一般,待確認,暫不出手,平台突破,業績成長,18.84,10.38,3,23.0,11.62,6.81,7.26,0.84,-2.33,2.0,12.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端,,核心 9/9，加分 2/3；型態 早期起漲；結構 平台突破；題材 一般；訊號 待確認
48,A,Y,84.34,early,早期起漲,9,7,2,69.33,77.0,3264,欣銓,TPEX,櫃半導體,172.0,一般,待確認,一般觀察,整理待確認,業績成長,27.02,23.92,3,-8.95,5.6,11.69,31.3,0.65,-14.85,13.0,18.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 早期起漲；結構 整理待確認；題材 一般；訊號 待確認
49,A,Y,83.74,early,早期起漲,9,7,2,63.72,81.03,6715,嘉基,TWSE,電子零組件,426.0,一般,待確認,一般觀察,回踩承接,轉虧為盈,9.55,17.85,3,-2.99,0.85,19.33,313.59,1.59,-7.39,6.0,16.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 早期起漲；結構 回踩承接；題材 一般；訊號 待確認
50,A,Y,82.36,early,早期起漲,9,7,2,62.99,75.02,3265,台星科,TPEX,櫃半導體,167.0,一般,5-10日波段,波段布局,回踩承接,業績成長,25.29,20.58,3,-13.97,18.39,20.58,28.46,0.75,-9.24,6.0,15.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 早期起漲；結構 回踩承接；題材 一般；訊號 5-10日波段
51,A,Y,81.95,continuation,強勢續攻,9,7,1,72.98,77.49,3037,欣興,TWSE,電子零組件,643.0,AI,3-5日延續,催化觀察,平台突破,業績成長,23.27,24.64,3,4.9,13.15,10.86,185.14,0.26,-2.58,14.0,16.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 流動性/財報品質達基本門檻,,核心 9/9，加分 1/3；型態 強勢續攻；結構 平台突破；題材 AI；訊號 3-5日延續
52,B,Y,89.3,early,早期起漲,8,7,3,83.53,90.87,3293,鈊象,TPEX,櫃文化創意,775.0,一般,3-5日延續,高勝率候選,回踩承接,業績成長,17.81,16.88,3,12.28,21.62,4.31,4.59,1.0,-3.73,10.0,16.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,MA60 在 MA120 之上,核心 8/9，加分 3/3；型態 早期起漲；結構 回踩承接；題材 一般；訊號 3-5日延續
53,B,Y,88.53,early,早期起漲,8,7,3,81.61,89.41,5536,聖暉*,TPEX,櫃其他電子,825.0,AI,3-5日延續,催化觀察,平台突破,業績成長,60.12,33.88,3,23.33,39.79,21.32,4.3,1.4,-2.37,9.0,15.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,MA60 在 MA120 之上,核心 8/9，加分 3/3；型態 早期起漲；結構 平台突破；題材 AI；訊號 3-5日延續
54,B,Y,88.39,early,早期起漲,8,7,3,79.44,91.41,2059,川湖,TWSE,電子零組件,3640.0,AI,待確認,一般觀察,回踩承接,業績成長,38.87,37.97,3,-5.55,14.46,6.74,9.8,1.49,-3.96,11.0,18.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,MA60 在 MA120 之上,核心 8/9，加分 3/3；型態 早期起漲；結構 回踩承接；題材 AI；訊號 待確認
55,B,Y,88.2,early,早期起漲,8,7,3,79.22,90.72,5284,jpp-KY,TWSE,其他,318.5,AI,3-5日延續,催化觀察,回踩承接,業績成長,47.49,45.4,3,7.86,8.98,15.82,16.03,1.1,-4.35,6.0,11.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,MA60 在 MA120 之上,核心 8/9，加分 3/3；型態 早期起漲；結構 回踩承接；題材 AI；訊號 3-5日延續
56,B,Y,85.47,continuation,強勢續攻,8,7,3,79.14,77.19,2376,技嘉,TWSE,電腦週邊,281.5,AI,3-5日延續,催化觀察,平台突破,業績成長,74.84,59.75,3,24.36,20.87,12.83,17.29,1.3,-1.57,14.0,11.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,MA60 在 MA120 之上,核心 8/9，加分 3/3；型態 強勢續攻；結構 平台突破；題材 AI；訊號 3-5日延續
57,B,Y,81.35,early,早期起漲,8,7,2,73.78,81.95,7728,光焱科技,TPEX,櫃其他電子,815.0,一般,5-10日波段,波段布局,整理待確認,翻轉觀察,-18.5,26.59,2,0.74,3.86,10.58,23.86,0.61,-16.84,5.0,19.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 估值不極端 | 流動性/財報品質達基本門檻,最新月營收年增 > 0,核心 8/9，加分 2/3；型態 早期起漲；結構 整理待確認；題材 一般；訊號 5-10日波段
58,B,Y,81.16,early,早期起漲,8,7,2,68.64,84.03,3416,融程電,TWSE,電腦週邊,160.0,軍工,待確認,暫不出手,回踩承接,業績成長,13.73,19.99,3,1.67,8.41,4.23,7.74,1.03,-3.61,1.0,19.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端,MA60 在 MA120 之上,核心 8/9，加分 2/3；型態 早期起漲；結構 回踩承接；題材 軍工；訊號 待確認
59,B,Y,81.13,early,早期起漲,8,7,2,68.44,84.16,6491,晶碩,TWSE,生技,293.5,一般,待確認,暫不出手,平台突破,業績成長,18.19,18.53,3,44.11,3.85,6.92,2.26,1.23,-2.81,3.0,16.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端,MA60 在 MA120 之上,核心 8/9，加分 2/3；型態 早期起漲；結構 平台突破；題材 一般；訊號 待確認
60,B,Y,81.04,early,早期起漲,8,7,2,73.46,77.43,2248,華勝-KY,TWSE,汽車,54.3,一般,待確認,暫不出手,平台突破,業績成長,64.47,29.53,3,4.46,2.8,9.15,8.71,1.68,-2.86,0.0,18.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端,MA60 在 MA120 之上,核心 8/9，加分 2/3；型態 早期起漲；結構 平台突破；題材 一般；訊號 待確認
61,A,N,86.29,continuation,強勢續攻,9,7,3,65.17,74.97,2327,國巨*,TWSE,電子零組件,316.5,AI,3-5日延續,催化觀察,回踩承接,業績成長,22.78,22.63,3,15.47,9.89,12.83,31.06,1.52,-5.94,15.0,14.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；型態 強勢續攻；結構 回踩承接；題材 AI；訊號 3-5日延續
62,A,N,85.88,continuation,強勢續攻,9,7,3,64.63,73.63,6789,采鈺,TWSE,半導體,430.0,一般,3-5日延續,催化觀察,平台突破,尚未明確,6.24,8.06,3,-1.01,0.5,25.0,60.15,2.06,-1.49,14.0,16.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；型態 強勢續攻；結構 平台突破；題材 一般；訊號 3-5日延續
63,A,N,85.81,continuation,強勢續攻,9,7,2,78.37,73.06,5434,崇越,TWSE,電子通路,417.0,CoWoS,3-5日延續,催化觀察,平台突破,業績成長,30.64,17.6,3,30.06,7.7,23.01,37.85,0.73,-0.71,6.0,17.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 強勢續攻；結構 平台突破；題材 CoWoS；訊號 3-5日延續
64,A,N,84.41,early,早期起漲,9,7,2,73.53,70.41,3577,泓格,TPEX,櫃電腦週邊,80.2,一般,待確認,暫不出手,回踩承接,業績成長,90.15,26.32,2,12.88,23.05,25.51,28.32,1.04,-4.07,0.0,19.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端,,核心 9/9，加分 2/3；型態 早期起漲；結構 回踩承接；題材 一般；訊號 待確認
65,A,N,84.21,continuation,強勢續攻,9,7,2,70.47,74.92,4739,康普,TWSE,化學,90.4,一般,待確認,一般觀察,平台突破,業績成長,103.62,134.94,3,6.3,6.19,9.05,32.75,0.56,-2.8,6.0,12.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 強勢續攻；結構 平台突破；題材 一般；訊號 待確認
66,A,N,83.54,early,早期起漲,9,7,2,70.36,71.74,3017,奇鋐,TWSE,電腦週邊,2400.0,AI,3-5日延續,催化觀察,回踩承接,業績成長,111.72,112.16,3,-8.93,14.03,29.73,74.55,0.82,-4.57,12.0,19.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 早期起漲；結構 回踩承接；題材 AI；訊號 3-5日延續
67,A,N,82.91,early,早期起漲,9,7,2,66.43,71.79,8048,德勝,TPEX,櫃通訊網路,64.6,一般,待確認,暫不出手,整理待確認,業績成長,20.29,7.65,2,22.14,33.3,6.6,24.23,1.67,-11.14,0.0,17.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端,,核心 9/9，加分 2/3；型態 早期起漲；結構 整理待確認；題材 一般；訊號 待確認
68,A,N,82.9,early,早期起漲,9,7,2,69.63,69.46,2049,上銀,TWSE,電機機械,291.0,機器人,3-5日延續,催化觀察,平台突破,翻轉觀察,17.4,9.17,2,4.78,16.98,25.16,47.72,1.66,-2.02,11.0,17.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 早期起漲；結構 平台突破；題材 機器人；訊號 3-5日延續
69,A,N,82.71,early,早期起漲,9,7,2,70.73,67.1,6903,巨漢,TPEX,櫃其他電子,394.0,AI,3-5日延續,催化觀察,回踩承接,業績成長,320.45,381.03,3,-2.98,6.52,26.28,56.66,0.4,-5.97,6.0,19.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 早期起漲；結構 回踩承接；題材 AI；訊號 3-5日延續
70,A,N,82.68,early,早期起漲,9,7,2,64.56,72.99,6834,天二科技,TWSE,電子零組件,37.3,一般,待確認,暫不出手,回踩承接,一次性轉盈風險,32.6,19.22,3,14.04,0.83,18.41,13.72,1.11,-6.75,0.0,14.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端,,核心 9/9，加分 2/3；型態 早期起漲；結構 回踩承接；題材 一般；訊號 待確認
71,A,N,82.23,early,早期起漲,9,7,2,66.72,69.72,8046,南電,TWSE,電子零組件,724.0,AI,3-5日延續,催化觀察,回踩承接,業績成長,39.03,32.28,3,0.34,15.31,29.06,184.48,1.14,-3.34,15.0,13.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 早期起漲；結構 回踩承接；題材 AI；訊號 3-5日延續
72,A,N,81.78,continuation,強勢續攻,9,7,2,62.5,71.05,6146,耕興,TPEX,櫃其他電子,221.0,AI,待確認,暫不出手,平台突破,尚未明確,6.47,6.34,3,18.92,27.67,10.78,31.16,1.68,0.0,1.0,15.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端,,核心 9/9，加分 2/3；型態 強勢續攻；結構 平台突破；題材 AI；訊號 待確認
73,A,N,81.74,continuation,強勢續攻,9,7,2,63.37,69.75,6465,威潤,TPEX,櫃通訊網路,49.05,一般,待確認,暫不出手,平台突破,業績翻轉,81.74,82.82,3,2.95,6.06,9.24,18.34,1.79,0.0,0.0,17.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端,,核心 9/9，加分 2/3；型態 強勢續攻；結構 平台突破；題材 一般；訊號 待確認
74,A,N,81.5,early,早期起漲,9,7,2,60.25,74.18,2355,敬鵬,TWSE,電子零組件,52.1,一般,待確認,一般觀察,回踩承接,翻轉觀察,5.7,5.1,2,2.26,0.95,8.2,64.35,0.34,-9.08,11.0,15.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 早期起漲；結構 回踩承接；題材 一般；訊號 待確認
75,A,N,81.02,early,早期起漲,9,7,2,61.83,69.79,2313,華通,TWSE,電子零組件,261.5,低軌衛星,待確認,一般觀察,整理待確認,業績成長,11.12,17.11,3,-13.7,9.04,13.7,126.41,0.49,-11.05,15.0,17.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 早期起漲；結構 整理待確認；題材 低軌衛星；訊號 待確認
76,A,N,81.0,continuation,強勢續攻,9,7,2,60.27,69.96,3715,定穎投控,TWSE,電子零組件,198.0,一般,待確認,暫不出手,平台突破,業績成長,41.91,24.6,3,0.06,9.06,14.12,41.94,1.53,-2.7,14.0,6.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端,,核心 9/9，加分 2/3；型態 強勢續攻；結構 平台突破；題材 一般；訊號 待確認
77,A,N,80.81,early,早期起漲,9,7,1,70.94,74.31,1528,恩德,TWSE,電機機械,29.2,一般,待確認,一般觀察,整理待確認,業績成長,30.9,31.24,3,3.3,3.08,22.95,33.03,0.78,-14.12,8.0,14.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 流動性/財報品質達基本門檻,,核心 9/9，加分 1/3；型態 早期起漲；結構 整理待確認；題材 一般；訊號 待確認
78,A,N,80.16,early,早期起漲,9,7,2,67.17,58.79,3443,創意,TWSE,半導體,3255.0,AI,3-5日延續,催化觀察,回踩承接,業績成長,33.48,67.14,3,5.36,6.91,29.42,37.63,0.49,-3.7,12.0,16.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 早期起漲；結構 回踩承接；題材 AI；訊號 3-5日延續
79,A,N,78.13,continuation,強勢續攻,9,7,1,63.2,70.62,1802,台玻,TWSE,玻璃,74.2,矽光子,3-5日延續,催化觀察,回踩承接,業績成長,16.36,5.45,2,10.27,7.67,15.76,112.0,2.86,-3.13,15.0,10.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 流動性/財報品質達基本門檻,,核心 9/9，加分 1/3；型態 強勢續攻；結構 回踩承接；題材 矽光子；訊號 3-5日延續
80,A,N,78.03,continuation,強勢續攻,9,7,1,67.58,62.94,6782,視陽,TWSE,生技,235.0,一般,待確認,暫不出手,平台突破,業績成長,32.36,31.25,3,19.17,17.05,13.25,34.29,2.68,-2.49,1.0,19.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 估值不極端,,核心 9/9，加分 1/3；型態 強勢續攻；結構 平台突破；題材 一般；訊號 待確認
